chat_id,incident_id,customer_message,agent_response,timestamp,sentiment
CHAT00001,INC00001,"Hi, I'm having an issue with my iPhone 15 Pro. Stuck in ""SOS Only"" mode in 5G coverage area.",,2024-11-23T00:00:00,frustrated
CHAT00002,INC00001,,"Thank you for reaching out. I see you're experiencing Stuck in ""SOS Only"" mode in 5G coverage area.. Let me investigate this for you.",2024-11-23T00:02:00,neutral
CHAT00003,INC00001,"Okay, what should I do?",,2024-11-23T00:05:00,neutral
CHAT00004,INC00001,,"Based on the diagnostics, I recommend: Reset Network Settings; Toggle Airplane Mode; Replace eSIM.",2024-11-23T00:10:00,neutral
CHAT00005,INC00001,"Great, everything is working now.",,2024-11-23T05:43:00,satisfied
CHAT00006,INC00001,,I'm glad we could resolve this for you. Have a great day!,2024-11-23T05:48:00,positive
CHAT00007,INC00002,"Can you help me? Stuck in ""SOS Only"" mode (Intermittent). on my iPhone 16 Plus",,2024-05-20T00:00:00,frustrated
CHAT00008,INC00002,,"Thank you for reaching out. I see you're experiencing Stuck in ""SOS Only"" mode (Intermittent).. Let me investigate this for you.",2024-05-20T00:02:00,neutral
CHAT00009,INC00002,"Okay, what should I do?",,2024-05-20T00:05:00,neutral
CHAT00010,INC00002,,"I've identified the issue. The solution is: Update to iOS 18.2; Disable ""Satellite"" features in settings.",2024-05-20T00:10:00,neutral
CHAT00011,INC00002,Thanks for your help!,,2024-05-20T10:16:00,satisfied
CHAT00012,INC00002,,I'm glad we could resolve this for you. Have a great day!,2024-05-20T10:21:00,positive
CHAT00013,INC00003,My Samsung S24 Ultra has been having problems. Rapid toggling between 5G and LTE (Battery drain).,,2024-02-22T00:00:00,frustrated
CHAT00014,INC00003,,I'm sorry to hear you're having this issue. I'll assist you in resolving Rapid toggling between 5G and LTE (Battery drain)..,2024-02-22T00:02:00,neutral
CHAT00015,INC00003,"Okay, what should I do?",,2024-02-22T00:05:00,neutral
CHAT00016,INC00003,,"Here's what we need to do: Set Network Mode to ""LTE Only"" or ""5G On"" (disable Auto).",2024-02-22T00:10:00,neutral
CHAT00017,INC00003,Thanks for your help!,,2024-02-23T17:08:00,satisfied
CHAT00018,INC00003,,Your issue has been resolved. Please let me know if you need further assistance.,2024-02-23T17:13:00,positive
CHAT00019,INC00004,"My Google Pixel 9 has been having problems. ""Modem unavailable"" error after software update.",,2024-08-04T00:00:00,frustrated
CHAT00020,INC00004,,"Thank you for reaching out. I see you're experiencing ""Modem unavailable"" error after software update.. Let me investigate this for you.",2024-08-04T00:02:00,neutral
CHAT00021,INC00004,"Okay, what should I do?",,2024-08-04T00:05:00,neutral
CHAT00022,INC00004,,"Let's try the following steps: Clear ""Carrier Services"" app cache; Hard Reboot.",2024-08-04T00:10:00,neutral
CHAT00023,INC00004,"Perfect, issue resolved.",,2024-08-04T03:00:00,satisfied
CHAT00024,INC00004,,The problem should be fixed now. Feel free to reach out if you have any other questions.,2024-08-04T03:05:00,positive
CHAT00025,INC00005,My iPhone 14 has been having problems. 5G UW icon shows but data speed is < 1 Mbps.,,2024-04-21T00:00:00,neutral
CHAT00026,INC00005,,I can help you with that. Let's troubleshoot 5G UW icon shows but data speed is < 1 Mbps. together.,2024-04-21T00:02:00,neutral
CHAT00027,INC00005,"Okay, what should I do?",,2024-04-21T00:05:00,neutral
CHAT00028,INC00005,,"Let's try the following steps: Reset Network Settings; Toggle ""5G Standalone"" Off.",2024-04-21T00:10:00,neutral
CHAT00029,INC00005,,Your issue has been resolved. Please let me know if you need further assistance.,2024-04-22T10:45:00,positive
