heal_id,incident_id,action_type,action_details,success_rate,executed_at
HEAL00001,INC00002,trigger_update,"Update to iOS 18.2; Disable ""Satellite"" features in settings.",0.85,2024-05-20T00:12:00
HEAL00002,INC00004,trigger_update,"Clear ""Carrier Services"" app cache; Hard Reboot.",0.76,2024-08-04T00:12:00
HEAL00003,INC00006,apply_config_fix,"Disable ""Wi-Fi Calling"" or ""Intelligent Wi-Fi"" switch.",0.88,2024-09-15T00:08:00
HEAL00004,INC00007,apply_config_fix,"Switch Data Mode to ""Low Data Mode"" to throttle heat.",0.73,2024-04-11T00:22:00
HEAL00005,INC00008,apply_config_fix,"Uninstall updates to ""VVM"" app; Clear App Data.",0.74,2024-10-06T00:25:00
HEAL00006,INC00009,reprovision_esim,Reprovision IMEI in billing system; Reset APN settings.,0.92,2024-04-22T00:20:00
HEAL00007,INC00010,apply_config_fix,"Unpair/Re-pair Watch; ""Remove Cellular Plan"" and re-add.",0.89,2024-10-28T00:14:00
HEAL00008,INC00012,manual_intervention,Whitelist Short Codes (225-999); Call VZ to sync SMS Gateway.,0.57,2024-03-22T00:07:00
HEAL00009,INC00013,clear_cache,Turn off RCS; Airplane Mode ON; Clear Msgs Cache; Turn RCS ON.,0.76,2024-08-04T00:28:00
HEAL00010,INC00014,reset_network_settings,Update Carrier Settings (About > General); Dial *73 to disable forwarding.,0.93,2024-05-22T00:10:00
HEAL00011,INC00015,apply_config_fix,"Disable ""Motion Smoothness"" (Hardware bug); wait for OneUI patch.",0.91,2024-04-20T00:06:00
HEAL00012,INC00016,apply_config_fix,"Remove ""Business Productivity"" SOC code and re-add.",0.8,2024-02-22T00:20:00
HEAL00013,INC00018,restart_modem,Factory Reset device (Pin hole); Replace Physical SIM.,0.92,2024-01-23T00:14:00
HEAL00014,INC00019,apply_config_fix,"Enable ""Send as SMS"" fallback; turn off Wi-Fi Calling for MMS.",0.7,2024-10-01T00:23:00
HEAL00015,INC00020,apply_config_fix,"Disable ""Google Location Accuracy"" (High Accuracy) momentarily.",0.93,2024-07-12T00:15:00
HEAL00016,INC00022,apply_config_fix,Disable IPv6 in Router Admin (Intel NIC compatibility bug).,0.84,2024-11-17T00:20:00
HEAL00017,INC00023,apply_config_fix,Manually set 5GHz channel to 149 or 157 (Non-DFS).,0.73,2024-07-04T00:21:00
HEAL00018,INC00024,manual_intervention,Check splitters (Must be 1675MHz); Reseat Coax cable.,0.36,2024-04-08T00:08:00
HEAL00019,INC00026,apply_config_fix,"Check ""IGMP Snooping"" enabled on router; Ensure same subnet.",0.86,2024-02-10T00:27:00
HEAL00020,INC00028,manual_intervention,Check RF Coax output on ONT; Replace Coax tip.,0.54,2024-05-22T00:23:00
HEAL00021,INC00029,apply_config_fix,"Remove 12V Battery; Press ""Alarm Silence"" (Blue Button).",0.75,2024-11-21T00:24:00
HEAL00022,INC00030,apply_config_fix,"Change ""Keep Until"" setting to ""I delete""; Upgrade DVR storage.",0.92,2024-03-24T00:18:00
HEAL00023,INC00031,apply_config_fix,Unlink/Relink Provider in App Settings; Reset VZ Password.,0.72,2024-05-16T00:26:00
HEAL00024,INC00033,apply_config_fix,Check Ethernet Cable (Cat5e/Cat6); Check NIC Duplex settings.,0.82,2024-11-21T00:12:00
HEAL00025,INC00036,apply_config_fix,Rotate device 90 degrees; Move to different window.,0.77,2024-07-13T00:15:00
HEAL00026,INC00038,apply_config_fix,"Call Support to update ""Service Address"" GPS coordinates.",0.7,2024-04-22T00:25:00
HEAL00027,INC00041,manual_intervention,Tower congestion; nothing user can do (Network Management).,0.44,2024-07-24T00:10:00
HEAL00028,INC00042,apply_config_fix,Use Incognito Window; Unlink Fios/Wireless accounts.,0.83,2024-10-17T00:27:00
HEAL00029,INC00043,apply_config_fix,Disable Ad-blocker; Try My Verizon App instead of Desktop.,0.87,2024-09-12T00:25:00
HEAL00030,INC00044,apply_config_fix,File PCA (Promo Correction); Provide Submission ID.,0.77,2024-11-25T00:24:00
HEAL00031,INC00046,apply_config_fix,"Check ""Digital Reward Center""; Resubmit receipt image.",0.82,2024-03-12T00:19:00
HEAL00032,INC00047,apply_config_fix,"Change plan to ""Unlimited Welcome"" or ""Plus"".",0.85,2024-10-14T00:18:00
HEAL00033,INC00048,apply_config_fix,Mandatory fee on Business accounts; cannot remove.,0.93,2024-10-26T00:29:00
HEAL00034,INC00049,apply_config_fix,Re-add Debit Card or VZ Visa (Credit Cards ineligible).,0.87,2024-10-25T00:11:00
HEAL00035,INC00050,apply_config_fix,Re-verify via ID.me or SheerID portal; waits 1-2 cycles.,0.87,2024-07-04T00:24:00
HEAL00036,INC00051,apply_config_fix,"Ensure both accounts have same ""Last Name"" and ""Billing Address"".",0.72,2024-03-11T00:19:00
HEAL00037,INC00052,apply_config_fix,App Glitch; check usage via #DATA (#3282) dialer code.,0.79,2024-09-09T00:23:00
HEAL00038,INC00054,apply_config_fix,"Toggle ""Apple Music"" OFF/ON in ""Add-ons""; Re-link Apple ID.",0.93,2024-03-19T00:11:00
HEAL00039,INC00055,apply_config_fix,"Provide UPS Drop-off Receipt; Open ""Warehouse Research"" tkt.",0.74,2024-03-22T00:15:00
HEAL00040,INC00056,apply_config_fix,"Credit Request; explain ""System Error"" during online checkout.",0.81,2024-08-04T00:26:00
HEAL00041,INC00058,apply_config_fix,Inventory mismatch; Order must be re-placed for shipping.,0.72,2024-07-14T00:21:00
HEAL00042,INC00059,apply_config_fix,"Type ""Agent"" 3 times; Select ""Tech Support"" not ""Billing"".",0.71,2024-08-27T00:09:00
HEAL00043,INC00060,apply_config_fix,"Schedule ""Call Back"" via App; Call 8 AM EST sharp.",0.81,2024-10-10T00:06:00
HEAL00044,INC00061,apply_config_fix,"Verify if ""Authorized Retailer"" (Victra/TCC); Go to Corp Store.",0.87,2024-02-28T00:14:00
HEAL00045,INC00062,apply_config_fix,Wait for App Store update; Use Mobile Web (https://www.google.com/search?q=m.verizon.com).,0.8,2024-05-16T00:05:00
HEAL00046,INC00063,reprovision_esim,Connect to Wi-Fi; Scan QR code provided by Chat Support.,0.84,2024-06-23T00:06:00
HEAL00047,INC00064,manual_intervention,Remove SIM; Clean contacts; Re-insert; Reset Network Settings.,0.51,2024-05-30T00:22:00
HEAL00048,INC00065,apply_config_fix,Normal physics (Faraday cage); Use Wi-Fi Calling.,0.93,2024-03-21T00:07:00
HEAL00049,INC00066,manual_intervention,Use wired CarPlay (High quality cable); Disable Wi-Fi on phone.,0.44,2024-05-14T00:14:00
HEAL00050,INC00067,manual_intervention,Check Plan features (Starter Unlimited has no hotspot).,0.53,2024-04-01T00:29:00
HEAL00051,INC00068,apply_config_fix,Remove battery immediately; Run on USB power if supported.,0.88,2024-02-24T00:18:00
HEAL00052,INC00070,apply_config_fix,"Disable ""Roaming"" before flight; ""Wi-Fi Calling"" triggers fee.",0.81,2024-09-16T00:17:00
HEAL00053,INC00072,apply_config_fix,Move Extender closer to Router (White light = Good).,0.87,2024-07-10T00:22:00
HEAL00054,INC00074,apply_config_fix,Stop playback on other STBs; Reboot Main VMS Server box.,0.73,2024-01-01T00:22:00
HEAL00055,INC00077,apply_config_fix,"Disable ""Home Network Protection"" in My Fios App.",0.91,2024-06-06T00:29:00
HEAL00056,INC00080,apply_config_fix,Dispute condition; Request photos of damage from warehouse.,0.84,2024-02-13T00:22:00
HEAL00057,INC00083,apply_config_fix,Remove via App > Add-ons; Pro-rated refund next bill.,0.74,2024-03-25T00:11:00
HEAL00058,INC00084,apply_config_fix,Remove via App; Download data before deletion (30 days).,0.88,2024-09-27T00:08:00
HEAL00059,INC00086,apply_config_fix,"Post publicly to trigger ""Social Media Team"" escalation.",0.85,2024-10-03T00:05:00
HEAL00060,INC00089,apply_config_fix,Update Android OS; Remove/Re-add fingerprint.,0.81,2024-09-21T00:26:00
HEAL00061,INC00090,apply_config_fix,"Force close ""Find My""; Update iOS.",0.71,2024-04-25T00:28:00
HEAL00062,INC00092,apply_config_fix,Accessibility Settings > Key Repeat > Turn Off/Adjust.,0.83,2024-04-27T00:29:00
